자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-32994,2024-06-30 23:16:09,3537,아차산 휴먼시아 아파트 옆,0,2024-06-30 23:21:14,00576,광나루역 3번 출구,0,5,956.53,1987,M,내국인,ST-1664,ST-387,일반자전거
SPB-63108,2024-06-30 22:35:41,3879,중랑천 뚝방길 산책로 입구,0,2024-06-30 23:21:14,02362,신사동 가로수길 입구,0,45,9750.0,1995,M,내국인,ST-2843,ST-1171,일반자전거
SPB-63955,2024-06-30 23:02:19,5768,방이삼거리,0,2024-06-30 23:21:14,02618,삼전역 1번출구,0,18,2252.19,1994,M,내국인,ST-3214,ST-1728,일반자전거
SPB-68790,2024-06-30 23:10:51,1044,굽은다리역,0,2024-06-30 23:21:15,01074,대명초교입구 사거리,0,10,747.07,\N,M,내국인,ST-1061,ST-1835,일반자전거
SPB-36428,2024-06-30 23:11:07,1450,화랑대역 7번출구,0,2024-06-30 23:21:15,04041,공릉역3번출구,0,10,1627.29,1991,\N,내국인,ST-1333,ST-2896,일반자전거
SPB-47664,2024-06-30 23:17:22,4559,신길역 2번출구,0,2024-06-30 23:21:15,05867,H타워 앞,0,3,601.38,1994,\N,내국인,ST-2810,ST-3235,일반자전거
SPB-31706,2024-06-30 23:12:23,1297,석촌호수교차로(동호 팔각정 앞),0,2024-06-30 23:21:16,04864,송파사거리,0,8,992.6,1995,\N,내국인,ST-1586,ST-2796,일반자전거
SPB-43663,2024-06-30 22:36:17,2301,현대고등학교 건너편,0,2024-06-30 23:21:16,02301,현대고등학교 건너편,0,44,0.0,1997,\N,내국인,ST-777,ST-777,일반자전거
SPB-68835,2024-06-30 23:04:43,1503,강북구청사거리(수유역 8번출구),0,2024-06-30 23:21:16,01551,419탑 앞,0,16,1990.0,1999,\N,내국인,ST-643,ST-2124,일반자전거
SPB-54183,2024-06-30 22:48:16,420,서울시 공공자전거 상암센터,0,2024-06-30 23:21:17,00401,상암월드컵파크 10단지 앞,0,33,3412.91,1986,F,내국인,ST-85,ST-76,일반자전거
SPB-37591,2024-06-30 21:40:49,4136,롯데캐슬SKY-L65 D동 앞,0,2024-06-30 23:21:18,04136,롯데캐슬SKY-L65 D동 앞,0,100,22043.41,1977,M,내국인,ST-3286,ST-3286,일반자전거
SPB-64574,2024-06-30 23:05:59,1226,잠실4동 주민센터 옆,0,2024-06-30 23:21:18,04897,잠실주공5단지1,0,15,1856.38,1995,F,내국인,ST-894,ST-2991,일반자전거
SPB-34944,2024-06-30 22:42:41,334,종로3가역 2번출구 뒤,0,2024-06-30 23:21:19,04110,용두롯데캐슬리치아파트 앞,0,38,5030.32,\N,\N,외국인,ST-150,ST-2502,일반자전거
